section,item_id,metric,year,period,value,unit,bound,attribute,instrument_en,instrument_zh,instrument_group,presence_central,presence_local,provincial_subsidy_rmb,source,notes
national_series,N01,societal_rd,2025,,3.92,RMB_tn,lower,observed_baseline,,,,,,NA,MOST minister channel 2026-03-05 (Yin Hejun); Outline col.1 #4,"Official wording 超过3.92万亿元. Stored 3.92 as a floor, not a point estimate. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
national_series,N02,rd_intensity,2025,,2.8,percent_of_GDP,point,observed_baseline,,,,,,NA,MOST 2026-03-05; MOST/MOF,2.8% (2025). Not restated as a 2030 point in Outline column 1. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N02b,rd_intensity,2030,,NA,percent_of_GDP,,unpublished_gap,,,,,,NA,Outline col.1 (no 2030 intensity cell),"2030 R&D intensity is not published. NA is a gap, not zero. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
national_series,N03,basic_research,2025,,0.28,RMB_tn,approx,observed_baseline,,,,,,NA,MOST 2026-03-05 (Yin Hejun),接近2800亿元 (~0.28 tn). Independent of the 7.08% share; do not recompute one from the other. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N04,basic_research_share_of_rd,2025,,7.08,percent_of_rd,point,observed_baseline,,,,,,NA,MOST 2026-03-05 (Yin Hejun),"7.08%, first time above 7%. 15th FYP: share to rise clearly — no 2030 point. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
national_series,N03b,basic_research,2030,,NA,RMB_tn,,unpublished_gap,,,,,,NA,Outline ch.8.3,"No 2030 basic-research RMB. NA is a gap, not zero. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
national_series,N04b,basic_research_share_of_rd,2030,,NA,percent_of_rd,,unpublished_gap,,,,,,NA,Outline ch.8.3,Qualitative rise only. Do not invent a 2030 share. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N05,digital_economy_core_va_gdp,2024,,10.5,percent_of_GDP,point,observed_baseline,,,,,,NA,NDRC 15th FYP Outline col.1 #6 (starred = 2024),2024* baseline 10.5%. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N06,digital_economy_core_va_gdp,2030,,12.5,percent_of_GDP,point,indicative_target,,,,,,NA,NDRC 15th FYP Outline col.1 #6 (预期性),2030 indicative target 12.5%. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N07,high_value_invention_patents_per_10k,2025,,16,count_per_10k_people,point,observed_baseline,,,,,,NA,NDRC 15th FYP Outline col.1 #5,2025 baseline 16. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N08,high_value_invention_patents_per_10k,2030,,22,count_per_10k_people,lower,indicative_target,,,,,,NA,NDRC 15th FYP Outline col.1 #5,Official ＞22. Stored 22 as a lower bound. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N09,ai_terminal_agent_penetration,2027,,70,percent,lower,indicative_target,,,,,,NA,国发〔2025〕11号 (CAC),Official >70% (2027). Stored 70 as a lower bound. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N10,ai_terminal_agent_penetration,2030,,90,percent,lower,indicative_target,,,,,,NA,国发〔2025〕11号 (CAC),Official >90% (2030). Stored 90 as a lower bound. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB.
national_series,N11,fiveg_base_stations,2026,2026-02,4.90,million_stations,lower,observed_stock,,,,,,NA,CAC 2026-04-20,"截至2026年2月突破490万座 (>4.90 million). Stock, not a funding total. Provincial subsidy RMB totals are unavailable in official gov.cn / MOST / CAC / NDRC Outline sources crawled 2026-09-03. Field left NA. Do not invent local RMB."
